Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO2 per 1000kcal),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram)
Wheat & Rye (Bread),0.1,0,0.8,0.2,0.1,0.1,0.1,1.4,,,,,
Maize (Meal),0.3,0,0.5,0.1,0.1,0.1,0,1.1,,,,,
Barley (Beer),0,0,0.2,0.1,0,0.5,0.3,1.1,,,,,
Oatmeal,0,0,1.4,0,0.1,0.1,0,1.6,183.91,482.4,0.94,2.89,7.6
Rice,0,0,3.6,0.1,0.1,0.1,0.1,4,609.98,2248.4,1.2,0.75,2.8
Potatoes,0,0,0.2,0,0.1,0,0,0.3,80.73,59.1,0.62,1.2,0.88
Cassava,0.6,0,0.2,0,0.1,0,0,0.9,,0,1.35,1.85,1.81
Cane Sugar,1.2,0,0.5,0,0.8,0.1,0,2.6,176.66,620.1,0.91,0.58,2.04
Beet Sugar,0,0,0.5,0.2,0.6,0.1,0,1.4,62.02,217.7,0.51,0.52,1.83
Other Pulses,0,0,1.1,0,0.1,0.4,0,1.6,,435.7,0.52,4.56,15.57
Peas,0,0,0.7,0,0.1,0,0,0.79,,396.6,0.28,2.15,7.46
Nuts,-2.1,0,2.1,0,0.1,0.1,0,0.2,672.16,4133.8,0.06,2.1,12.96
Groundnuts,0.4,0,1.4,0.4,0.1,0.1,0,2.4,319.36,1852.3,0.55,1.57,9.11
Soymilk,0.2,0,0.1,0.2,0.1,0.1,0.3,1,,27.8,,,0.66
Tofu,1,0,0.5,0.8,0.2,0.2,0.3,3,,,,,
Soybean Oil,3.1,0,1.5,0.3,0.3,0.8,0,5.99,,414.6,,,10.52
Palm Oil,3.1,0,2.1,1.3,0.2,0.9,0,7.6,0.72,6.4,0.82,0.273,2.42
Sunflower Oil,0.1,0,2.1,0.2,0.2,0.9,0,3.5,114,1007.9,0.4,1.99,17.66
Rapeseed Oil,0.2,0,2.3,0.2,0.2,0.8,0,3.7,26.88,237.7,0.42,1.2,10.63
Olive Oil,-0.4,0,4.3,0.7,0.5,0.9,0,6,242.28,2141.8,0.61,2.9,26.31
Tomatoes,0.4,0,0.7,0,0.2,0.1,0,1.4,1946.3,369.8,11,4.2,0.8
Onions & Leeks,0,0,0.2,0,0.1,0,0,0.3,38.64,14.3,1.35,1.05,0.39
Root Vegetables,0,0,0.2,0,0.1,0,0,0.3,76.75,28.4,1.16,0.89,0.33
Brassicas,0,0,0.3,0,0.1,0,0,0.4,702.35,119.4,3,3.2,0.55
Other Vegetables,0,0,0.2,0.1,0.2,0,0,0.5,,102.5,,,0.38
Citrus Fruit,-0.1,0,0.3,0,0.1,0,0,0.3,258.43,82.7,1.21,2.6875,0.86
Bananas,0,0,0.3,0.1,0.3,0.1,0,0.8,190.83,114.5,1.43,3.2,1.93
Apples,0,0,0.2,0,0.1,0,0,0.3,375.2,180.1,0.89,1.3125,0.63
Berries & Grapes,0,0,0.7,0,0.2,0.2,0,1.1,736.14,419.6,2.68,4.2,2.41
Wine,-0.1,0,0.6,0.1,0.1,0.7,0,1.4,,78.9,,,1.78
Other Fruit,0.1,0,0.4,0,0.2,0,0,0.7,,153.5,,,0.89
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,16.5,46.25,25.9,50.94,38.6,21.62
Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0,18.7,104.56,540.6,9.02,13.3,68.96
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,531.57,1451.2,36.43,119.4,326.21
Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,994.24,2714.3,12.19,15.8,43.24
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,568.7,1802.8,12.52,116.65,369.81
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,751.38,1795.8,5.15,7.26,17.36
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,356.75,660,5.33,6.6,12.22
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,1047,628.2,5.25,14.91,8.95
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,1448.37,5605.2,6.17,22.68,87.79
Eggs,0.7,2.2,1.3,0,0.1,0.2,0,4.5,401.18,577.7,3.24,4.35,6.27
Fish (farmed),0.5,0.8,3.6,0,0.1,0.1,0,5.1,2062.17,3691.3,7.61,4.69,8.41
Shrimps (farmed),0.2,2.5,8.4,0,0.2,0.3,0.2,11.8,,,,,